time,interval,encR,encL,wR,wL,wdotR,wdotL,wddotR,wddotL,pwmR,pwmL,x,y,theta,x_ref,y_ref,theta_ref,vel_v,vel_w,e_x,e_y,e_theta,u_R,u_L,tau_R,tau_L
1548676006.60237,0.0319061279296875,208,48,6.135923151542564,0.30679615757712825,7.669903939428213,7.669903939428206,191.7475984857053,191.74759848570514,726.21868861570704,293.79224339772014,0.016525417394581448,0.042152161297145975,-0.081445952738807725,0.071903376338713326,0.0022645732224117411,0.071954488754272461,0.0,0.0,0.062030160466455264,-0.030696244919685096,0.19424692142230027,1.3184022580436496,0.080260500649655342,0.040382008487855267,0.016359288608021657
1548676006.649947,0.046449899673461914,226,56,5.522330836388308,2.454369260617026,-15.339807878856403,53.689327575997446,-575.2427954571153,1150.4855909142311,726.21868861570704,293.79224339772014,0.019589881340533532,0.044024562599018928,-0.05529607074346396,0.071903376338713326,0.0022645732224117411,0.071954488754272461,0.0,0.0,0.062030160466455264,-0.030696244919685096,0.19424692142230027,1.3184022580436496,0.080260500649655342,0.040382008487855267,0.016359288608021657
1548676006.682323,0.03045201301574707,244,70,5.522330836388308,4.295146206079795,0.0,46.01942363656922,383.49519697141005,-191.7475984857056,698.79622044464497,331.46159857007251,0.023495547428362004,0.045375032966481169,-0.05150281862982066,0.080461263052451729,0.0028814165114539993,0.080534577369689941,0.0,0.0,0.062100656799790606,-0.038155406816857869,0.13533680437412285,1.3333864341198032,0.067876951874017044,0.038896086474748619,0.018489118808646114
1548676006.729311,0.044464111328125,262,87,5.522330836388308,5.2155346788111805,0.0,23.00971181828464,0.0,-575.2427954571145,698.79622044464497,331.46159857007251,0.029817551592377645,0.047651425127523406,-0.044288894014837772,0.080461263052451729,0.0028814165114539993,0.080534577369689941,0.0,0.0,0.062100656799790606,-0.038155406816857869,0.13533680437412285,1.3333864341198032,0.067876951874017044,0.038896086474748619,0.018489118808646114
1548676006.765529,0.030490875244140625,281,105,5.829126993965436,5.522330836388308,7.669903939428191,7.669903939428191,191.74759848570477,-383.4951969714112,698.79622044464497,331.46159857007251,0.034620279055046964,0.049413021797201716,-0.042576268502384093,0.089095886535164454,0.0035783095567575303,0.089197278022766113,0.0,0.0,0.057264396450730552,-0.042977590663214868,0.1352038845199704,1.3333864341198032,0.067876951874017044,0.038896086474748619,0.018489118808646114
1548676006.808054,0.04611706733703613,300,125,5.829126993965436,6.135923151542564,0.0,15.339807878856403,-191.74759848570477,191.7475984857053,691.1683918642691,331.91539901944157,0.040445748087108178,0.051561283130785812,-0.041833931935257827,0.089095886535164454,0.0035783095567575303,0.089197278022766113,0.0,0.0,0.057264396450730552,-0.042977590663214868,0.1352038845199704,1.3188628338719384,0.066340823562137538,0.038359775163145413,0.01840132669334793
1548676006.840918,0.031542062759399414,319,145,5.829126993965436,6.135923151542564,0.0,0.0,0.0,-383.49519697141005,691.1683918642691,331.91539901944157,0.045390989347035386,0.053447595157472189,-0.042185675829684889,0.089095886535164454,0.0035783095567575303,0.089197278022766113,0.0,0.0,0.057264396450730552,-0.042977590663214868,0.1352038845199704,1.3188628338719384,0.066340823562137538,0.038359775163145413,0.01840132669334793
1548676006.88855,0.04616284370422363,338,165,5.829126993965436,6.135923151542564,0.0,0.0,0.0,0.0,681.24554181201358,325.68138943044136,0.052168033008277805,0.056035910716744353,-0.04308991558507741,0.097423558649880865,0.0043230914901376538,0.09755818843841553,0.0,0.0,0.051416170032826808,-0.047991088202071375,0.14036643726871506,1.2997300207907216,0.065639292260084789,0.037846003023946202,0.018092387870054818
1548676006.920266,0.030328989028930664,358,185,6.135923151542564,6.135923151542564,7.669903939428213,0.0,191.7475984857053,0.0,681.24554181201358,325.68138943044136,0.057037704869328715,0.057849403557718213,-0.043955102607682997,0.097423558649880865,0.0043230914901376538,0.09755818843841553,0.0,0.0,0.051416170032826808,-0.047991088202071375,0.14036643726871506,1.2997300207907216,0.065639292260084789,0.037846003023946202,0.018092387870054818
1548676006.971109,0.04625821113586426,378,205,6.135923151542564,6.135923151542564,0.0,0.0,-191.7475984857053,0.0,681.24554181201358,325.68138943044136,0.063374664370421829,0.060343230272613672,-0.043237346935749814,0.10619783194201721,0.005181819771700103,0.10637438297271729,0.0,0.0,0.04585558305399258,-0.052960524113041009,0.14996125581881828,1.2804518463951811,0.065710341221665178,0.037846003023946202,0.018092387870054818
