time,interval,wR,wL,wdotR,wdotL,pwmR,pwmL,theta,vel_v,vel_w,tau_R,tau_L,x,y,centroidX,centroidY,a_hat0,a_hat1,a_hat2,a_hat3,a_hat4
139.800528049469,0.09967613220214844,0,0,0,0,0,0,2.3932081562482996,0.0,0.0,-0.0013155666617386842,0.0033889187161443568,0.19164838362769918,-1.1559339944288518,0.21018515163191132,-1.1366032024268853,2.0,2.0,0.01,0.01,0.01
139.9002001285553,0.09967613220214844,0,0,0,0,0,0,2.3933879000441722,0.0,0.0,-0.0013155666617386842,0.0033889187161443568,0.19167955788694666,-1.15589897495967,0.21018515163191132,-1.1366032024268853,2.0,2.0,0.01,0.01,0.01
140.00059700012207,0.09967613220214844,0,0,0,0,0,0,2.3934716493705035,0.0,0.0,-0.0013155666617386842,0.0033889187161443568,0.19165989068909159,-1.1558941350584486,0.21018515163191132,-1.1366032024268853,2.0,2.0,0.01,0.01,0.01
140.10106205940247,0.09967613220214844,0,0,0,0,0,0,2.3930523775447168,0.0,0.0,-0.0013155666617386842,0.0033889187161443568,0.19167162167938293,-1.1559049471927019,0.21018515163191132,-1.1366032024268853,2.0,2.0,0.01,0.01,0.01
153.91277313232422,14.397876977920532,0,0,0,0,324.94456272580851,91.408470987252187,2.3930523775447168,0.0,0.0,0.018052475706989361,0.0050782483881806773,0.19167162167938293,-1.1559049471927019,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
153.94201803207397,0.029201984405517578,0,0,0,0,324.94456272580851,91.408470987252187,2.3930523775447168,0.0,0.0,0.018052475706989361,0.0050782483881806773,0.19167162167938293,-1.1559049471927019,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
154.02908515930176,0.1000509262084961,0,0,0,0,307.24320540134499,104.67822559029244,2.4503369269693565,0.0,0.0,0.017069066966741389,0.0058154569772384691,0.18714220989329208,-1.1558142423180136,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
154.13053607940674,0.09999299049377441,0,0,0,0,271.68228272476165,125.25395846887898,2.5551829814797213,0.0,0.0,0.015093460151375646,0.006958553248271054,0.17871832563042397,-1.1562630112386341,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
154.2294991016388,0.09990310668945312,0,0,0,0,271.68228272476165,125.25395846887898,2.5551829814797213,0.0,0.0,0.015093460151375646,0.006958553248271054,0.17871832563042397,-1.1562630112386341,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
154.331796169281,0.09992289543151855,0,0,0,0,176.49755839731608,147.53182569730885,2.7816477751270234,0.0,0.0,0.0098054199109620047,0.0081962125387393808,0.15836496754774712,-1.1597554611707166,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
154.4337441921234,0.0999147891998291,0,0,0,0,122.25918068222961,139.32418531256067,2.8618591944345586,0.0,0.0,0.0067921767045683121,0.0077402325173644825,0.14616165698407763,-1.1624295764513899,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
154.52971720695496,0.09992599487304688,0,0,0,0,112.87020241571057,137.14191984870396,2.8752144342593069,0.0,0.0,0.006270566800872809,0.0076189955471502209,0.14403754627034812,-1.1629195673242765,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
154.629408121109,0.09987020492553711,0,0,0,0,39.312315412920881,107.77584645719003,2.9438891777467866,0.0,0.0,0.0021840175229400488,0.0059875470253994457,0.12576564712801674,-1.1664807954026777,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
154.73348307609558,0.0999448299407959,0,0,0,0,6.8599801302965009,91.664515637627503,2.954711315220421,0.0,0.0,0.0003811100072386945,0.0050924730909793058,0.11703877867072546,-1.168326361543172,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
154.8318190574646,0.10061097145080566,0,0,0,0,-1.8669021184623642,87.259298742365502,2.9551535592446188,0.0,0.0,-0.00010371678435902023,0.0048477388190203054,0.11462835889032373,-1.1688620927321474,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
154.92658519744873,0.10061097145080566,0,0,0,0,0,0,2.9491546076656889,0.0,0.0,-0.00010371678435902023,0.0048477388190203054,0.10798150775699644,-1.169749516744798,0.10441426681547279,-1.1439077072198807,2.0,2.0,0.01,0.01,0.01
